# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.362400,0.000000,0.000000,0.000000,0.000000,-1.607490,2.666320,-1.562280,0.317204,0.000000,0.000000,0.000000,0.000000,-0.547232,0.673394,-0.305070,0.048831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.300379,0.000000,-1.006132,0.251636,0.524217,0.405940,0.099000,-0.307488
1.488100,-0.250000,-0.128583,0.053604,-0.034275,-0.090477,0.306503,-0.219504,0.048036,-0.250000,-0.341062,-0.017887,-0.024029,-0.229529,0.520457,-0.331227,0.068120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.865953,-0.021149,0.204978,0.218863,0.154604,0.046420,-0.051605,-0.029274
1.101610,-0.250000,0.166457,0.014006,-0.007636,0.895979,-1.858350,1.363290,-0.346022,-0.700000,-0.142713,0.050948,-0.003414,0.264286,-0.205005,-0.009795,0.030898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.658853,0.734211,0.541503,0.210298,0.002303,-0.096590,-0.109389,-0.051095
1.576790,0.000000,0.218226,-0.003847,0.003428,0.245861,-0.456086,0.262898,-0.050045,-0.700000,0.152003,0.059669,0.004040,0.450470,-0.681899,0.353302,-0.062801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638837,0.289964,0.203578,0.088457,0.016538,-0.032134,-0.047627,0.026471
1.324070,0.250000,-0.018671,-0.066877,0.000096,-0.764645,1.286910,-0.765131,0.158043,-0.250000,0.263863,-0.029196,0.005386,0.092609,-0.290507,0.230106,-0.056484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.647504,0.920365,0.444949,0.059346,-0.158773,-0.227633,-0.137656,0.153756
1.235800,0.000000,-0.239670,-0.005317,-0.008759,-0.551952,1.290150,-0.947097,0.230152,0.000000,0.098445,0.004284,0.009515,0.450858,-0.699090,0.400791,-0.081856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.724831,-0.123368,-0.282814,-0.268415,-0.187298,-0.085512,0.026429,0.148440
1.607100,-0.250000,-0.054886,0.050071,0.004279,0.245503,-0.263853,0.103428,-0.014442,0.250000,0.293930,0.043949,0.007994,0.648800,-1.114280,0.613672,-0.112836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.698112,-0.305099,-0.210068,-0.142195,-0.104090,-0.070241,-0.018865,0.056663
1.616620,0.000000,0.325962,0.020991,-0.017958,0.230419,-0.518513,0.317991,-0.061707,0.700000,-0.031105,-0.113019,-0.000718,-0.343491,0.455620,-0.211752,0.034438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.128450,-0.532763,-0.410810,-0.264308,-0.102651,0.065695,0.157376,-0.060004
1.375170,0.250000,-0.203876,-0.089434,0.039561,-0.520921,1.142400,-0.780930,0.174479,0.250000,-0.372924,0.037935,0.025198,0.147409,-0.050748,-0.055622,0.024101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.078107,-0.495862,-0.176034,0.006928,0.041678,0.004083,-0.032507,0.029433
